,GEO,date_report,VALUE
0,Alberta,25-01-2020,0
31,Alberta,25-02-2020,0
60,Alberta,25-03-2020,61
91,Alberta,25-04-2020,215
121,Alberta,25-05-2020,19
152,Alberta,25-06-2020,26
182,Alberta,25-07-2020,0
213,Alberta,25-08-2020,77
244,Alberta,25-09-2020,153
274,Alberta,25-10-2020,0
305,Alberta,25-11-2020,1265
335,Alberta,25-12-2020,0
366,Alberta,25-01-2021,742
397,Alberta,25-02-2021,399
425,Alberta,25-03-2021,764
456,Alberta,25-04-2021,1437
486,Alberta,25-05-2021,387
517,Alberta,25-06-2021,0
547,Alberta,25-07-2021,0
578,Alberta,25-08-2021,1076
609,Alberta,25-09-2021,0
686,British Columbia,25-01-2020,0
717,British Columbia,25-02-2020,0
746,British Columbia,25-03-2020,42
777,British Columbia,25-04-2020,95
807,British Columbia,25-05-2020,13
838,British Columbia,25-06-2020,19
868,British Columbia,25-07-2020,0
899,British Columbia,25-08-2020,58
930,British Columbia,25-09-2020,98
960,British Columbia,25-10-2020,0
991,British Columbia,25-11-2020,738
1021,British Columbia,25-12-2020,0
1052,British Columbia,25-01-2021,1344
1083,British Columbia,25-02-2021,395
1111,British Columbia,25-03-2021,800
1142,British Columbia,25-04-2021,0
1172,British Columbia,25-05-2021,289
1203,British Columbia,25-06-2021,72
1233,British Columbia,25-07-2021,0
1264,British Columbia,25-08-2021,698
1295,British Columbia,25-09-2021,0
1372,Manitoba,25-01-2020,0
1403,Manitoba,25-02-2020,0
1432,Manitoba,25-03-2020,14
1463,Manitoba,25-04-2020,4
1493,Manitoba,25-05-2020,0
1524,Manitoba,25-06-2020,1
1554,Manitoba,25-07-2020,0
1585,Manitoba,25-08-2020,25
1616,Manitoba,25-09-2020,54
1646,Manitoba,25-10-2020,161
1677,Manitoba,25-11-2020,347
1707,Manitoba,25-12-2020,0
1738,Manitoba,25-01-2021,111
1769,Manitoba,25-02-2021,70
1797,Manitoba,25-03-2021,110
1828,Manitoba,25-04-2021,259
1858,Manitoba,25-05-2021,257
1889,Manitoba,25-06-2021,85
1919,Manitoba,25-07-2021,29
1950,Manitoba,25-08-2021,103
1981,Manitoba,25-09-2021,0
2058,New Brunswick,25-01-2020,0
2089,New Brunswick,25-02-2020,0
2118,New Brunswick,25-03-2020,8
2149,New Brunswick,25-04-2020,0
2179,New Brunswick,25-05-2020,0
2210,New Brunswick,25-06-2020,0
2240,New Brunswick,25-07-2020,0
2271,New Brunswick,25-08-2020,1
2302,New Brunswick,25-09-2020,1
2332,New Brunswick,25-10-2020,2
2363,New Brunswick,25-11-2020,3
2393,New Brunswick,25-12-2020,1
2424,New Brunswick,25-01-2021,27
2455,New Brunswick,25-02-2021,1
2483,New Brunswick,25-03-2021,30
2514,New Brunswick,25-04-2021,4
2544,New Brunswick,25-05-2021,9
2575,New Brunswick,25-06-2021,1
2605,New Brunswick,25-07-2021,0
2636,New Brunswick,25-08-2021,10
2667,New Brunswick,25-09-2021,61
2744,Newfoundland and Labrador,25-01-2020,0
