,GEO,date_report,VALUE
0,Alberta,25-01-2020,0
31,Alberta,25-02-2020,0
60,Alberta,25-03-2020,61
91,Alberta,25-04-2020,215
121,Alberta,25-05-2020,19
152,Alberta,25-06-2020,26
182,Alberta,25-07-2020,0
213,Alberta,25-08-2020,77
244,Alberta,25-09-2020,153
274,Alberta,25-10-2020,0
305,Alberta,25-11-2020,1265
335,Alberta,25-12-2020,0
366,Alberta,25-01-2021,742
397,Alberta,25-02-2021,399
425,Alberta,25-03-2021,764
456,Alberta,25-04-2021,1437
486,Alberta,25-05-2021,387
517,Alberta,25-06-2021,0
547,Alberta,25-07-2021,0
578,Alberta,25-08-2021,1076
609,Alberta,25-09-2021,0
688,British Columbia,25-01-2020,0
719,British Columbia,25-02-2020,0
748,British Columbia,25-03-2020,42
779,British Columbia,25-04-2020,95
809,British Columbia,25-05-2020,13
840,British Columbia,25-06-2020,19
870,British Columbia,25-07-2020,0
901,British Columbia,25-08-2020,58
932,British Columbia,25-09-2020,98
962,British Columbia,25-10-2020,0
993,British Columbia,25-11-2020,738
1023,British Columbia,25-12-2020,0
1054,British Columbia,25-01-2021,1344
1085,British Columbia,25-02-2021,395
1113,British Columbia,25-03-2021,800
1144,British Columbia,25-04-2021,0
1174,British Columbia,25-05-2021,289
1205,British Columbia,25-06-2021,72
1235,British Columbia,25-07-2021,0
1266,British Columbia,25-08-2021,698
1297,British Columbia,25-09-2021,0
1376,Manitoba,25-01-2020,0
1407,Manitoba,25-02-2020,0
1436,Manitoba,25-03-2020,14
1467,Manitoba,25-04-2020,4
1497,Manitoba,25-05-2020,0
1528,Manitoba,25-06-2020,1
1558,Manitoba,25-07-2020,0
1589,Manitoba,25-08-2020,25
1620,Manitoba,25-09-2020,54
1650,Manitoba,25-10-2020,161
1681,Manitoba,25-11-2020,347
1711,Manitoba,25-12-2020,0
1742,Manitoba,25-01-2021,111
1773,Manitoba,25-02-2021,70
1801,Manitoba,25-03-2021,110
1832,Manitoba,25-04-2021,259
1862,Manitoba,25-05-2021,257
1893,Manitoba,25-06-2021,85
1923,Manitoba,25-07-2021,29
1954,Manitoba,25-08-2021,103
1985,Manitoba,25-09-2021,0
2064,New Brunswick,25-01-2020,0
2095,New Brunswick,25-02-2020,0
2124,New Brunswick,25-03-2020,8
2155,New Brunswick,25-04-2020,0
2185,New Brunswick,25-05-2020,0
2216,New Brunswick,25-06-2020,0
2246,New Brunswick,25-07-2020,0
2277,New Brunswick,25-08-2020,1
2308,New Brunswick,25-09-2020,1
2338,New Brunswick,25-10-2020,2
2369,New Brunswick,25-11-2020,3
2399,New Brunswick,25-12-2020,1
2430,New Brunswick,25-01-2021,27
2461,New Brunswick,25-02-2021,1
2489,New Brunswick,25-03-2021,30
2520,New Brunswick,25-04-2021,4
2550,New Brunswick,25-05-2021,9
2581,New Brunswick,25-06-2021,1
2611,New Brunswick,25-07-2021,0
2642,New Brunswick,25-08-2021,10
2673,New Brunswick,25-09-2021,61
2752,Newfoundland and Labrador,25-01-2020,0
