,REF_DATE,GEO,VALUE
0,2021-10,Quebec,574.5809523809525
1,2021-11,Quebec,585.1705627705628
2,2021-12,Quebec,595.7601731601733
3,2022-01,Quebec,606.3497835497836
4,2021-10,Nova Scotia,17.871428571428567
5,2021-11,Nova Scotia,18.638961038961035
6,2021-12,Nova Scotia,19.406493506493504
7,2022-01,Nova Scotia,20.174025974025973
8,2021-10,Ontario,1533.3904761904762
9,2021-11,Ontario,1597.655411255411
10,2021-12,Ontario,1661.9203463203462
11,2022-01,Ontario,1726.1852813852813
12,2021-10,Northwest Territories,2.9952380952380944
13,2021-11,Northwest Territories,3.1939393939393934
14,2021-12,Northwest Territories,3.3926406926406916
15,2022-01,Northwest Territories,3.5913419913419906
16,2021-10,Nunavut,2.0047619047619047
17,2021-11,Nunavut,2.0787878787878786
18,2021-12,Nunavut,2.1528138528138525
19,2022-01,Nunavut,2.226839826839827
20,2021-10,Prince Edward Island,0.29047619047619044
21,2021-11,Prince Edward Island,0.2865800865800866
22,2021-12,Prince Edward Island,0.28268398268398265
23,2022-01,Prince Edward Island,0.2787878787878788
24,2021-10,Yukon,3.3333333333333335
25,2021-11,Yukon,3.5281385281385282
26,2021-12,Yukon,3.722943722943723
27,2022-01,Yukon,3.9177489177489178
28,2021-10,Alberta,631.7714285714286
29,2021-11,Alberta,660.5428571428571
30,2021-12,Alberta,689.3142857142857
31,2022-01,Alberta,718.0857142857143
32,2021-10,British Columbia,422.652380952381
33,2021-11,British Columbia,440.89783549783556
34,2021-12,British Columbia,459.1432900432901
35,2022-01,British Columbia,477.38874458874454
36,2021-10,New Brunswick,20.25714285714286
37,2021-11,New Brunswick,21.410389610389608
38,2021-12,New Brunswick,22.563636363636363
39,2022-01,New Brunswick,23.716883116883118
40,2021-10,Manitoba,148.67619047619047
41,2021-11,Manitoba,155.1359307359307
42,2021-12,Manitoba,161.59567099567096
43,2022-01,Manitoba,168.05541125541123
44,2021-10,Saskatchewan,233.27619047619044
45,2021-11,Saskatchewan,245.99826839826835
46,2021-12,Saskatchewan,258.72034632034627
47,2022-01,Saskatchewan,271.4424242424242
48,2021-10,Newfoundland and Labrador,3.5238095238095233
49,2021-11,Newfoundland and Labrador,3.5238095238095233
50,2021-12,Newfoundland and Labrador,3.5238095238095233
51,2022-01,Newfoundland and Labrador,3.5238095238095233
