,REF_DATE,GEO,VALUE
0,2021-10,Quebec,156.98809523809524
1,2021-11,Quebec,157.22121212121212
2,2021-12,Quebec,157.454329004329
3,2022-01,Quebec,157.68744588744588
4,2021-10,Nova Scotia,161.07999999999996
5,2021-11,Nova Scotia,161.32363636363633
6,2021-12,Nova Scotia,161.5672727272727
7,2022-01,Nova Scotia,161.81090909090906
8,2021-10,Ontario,159.23
9,2021-11,Ontario,159.4587012987013
10,2021-12,Ontario,159.68740259740258
11,2022-01,Ontario,159.9161038961039
12,2021-10,Prince Edward Island,164.97095238095238
13,2021-11,Prince Edward Island,165.34406926406928
14,2021-12,Prince Edward Island,165.71718614718614
15,2022-01,Prince Edward Island,166.09030303030303
16,2021-10,Alberta,157.56619047619049
17,2021-11,Alberta,157.83411255411255
18,2021-12,Alberta,158.10203463203464
19,2022-01,Alberta,158.3699567099567
20,2021-10,British Columbia,153.17666666666665
21,2021-11,British Columbia,153.40744588744587
22,2021-12,British Columbia,153.6382251082251
23,2022-01,British Columbia,153.8690043290043
24,2021-10,New Brunswick,165.43571428571428
25,2021-11,New Brunswick,165.7974025974026
26,2021-12,New Brunswick,166.1590909090909
27,2022-01,New Brunswick,166.52077922077922
28,2021-10,Manitoba,153.88761904761907
29,2021-11,Manitoba,154.07826839826842
30,2021-12,Manitoba,154.26891774891777
31,2022-01,Manitoba,154.45956709956712
32,2021-10,Saskatchewan,159.1019047619048
33,2021-11,Saskatchewan,159.33411255411258
34,2021-12,Saskatchewan,159.56632034632037
35,2022-01,Saskatchewan,159.79852813852816
36,2021-10,Newfoundland and Labrador,154.80523809523808
37,2021-11,Newfoundland and Labrador,155.05809523809523
38,2021-12,Newfoundland and Labrador,155.31095238095236
39,2022-01,Newfoundland and Labrador,155.5638095238095
40,2021-10,Yukon,
41,2021-10,Northwest Territories,
42,2021-10,Nunavut,
43,2021-11,Yukon,
44,2021-11,Northwest Territories,
45,2021-11,Nunavut,
46,2021-12,Yukon,
47,2021-12,Northwest Territories,
48,2021-12,Nunavut,
49,2022-01,Yukon,
50,2022-01,Northwest Territories,
51,2022-01,Nunavut,
