,REF_DATE,GEO,VALUE
0,2021-10,Quebec,478.1375476190476
1,2021-11,Quebec,485.5571385281385
2,2021-12,Quebec,492.97672943722944
3,2022-01,Quebec,500.3963203463203
4,2021-10,Nova Scotia,53.81533809523809
5,2021-11,Nova Scotia,54.988360173160174
6,2021-12,Nova Scotia,56.161382251082244
7,2022-01,Nova Scotia,57.33440432900433
8,2021-10,Ontario,785.3009476190475
9,2021-11,Ontario,796.935393073593
10,2021-12,Ontario,808.5698385281385
11,2022-01,Ontario,820.2042839826839
12,2021-10,Prince Edward Island,11.626815179273162
13,2021-11,Prince Edward Island,11.854776235135173
14,2021-12,Prince Edward Island,12.082737290997185
15,2022-01,Prince Edward Island,12.310698346859198
16,2021-10,Alberta,291.7601142857143
17,2021-11,Alberta,295.2325402597403
18,2021-12,Alberta,298.70496623376624
19,2022-01,Alberta,302.1773922077922
20,2021-10,British Columbia,504.95905714285715
21,2021-11,British Columbia,514.0609454545454
22,2021-12,British Columbia,523.1628337662338
23,2022-01,British Columbia,532.2647220779221
24,2021-10,New Brunswick,37.585728571428575
25,2021-11,New Brunswick,38.377885714285725
26,2021-12,New Brunswick,39.17004285714286
27,2022-01,New Brunswick,39.96220000000001
28,2021-10,Manitoba,58.536937395714276
29,2021-11,Manitoba,58.992829308961035
30,2021-12,Manitoba,59.44872122220779
31,2022-01,Manitoba,59.90461313545454
32,2021-10,Saskatchewan,56.14521195285714
33,2021-11,Saskatchewan,56.912533481688314
34,2021-12,Saskatchewan,57.67985501051948
35,2022-01,Saskatchewan,58.44717653935065
36,2021-10,Newfoundland and Labrador,23.598466666666663
37,2021-11,Newfoundland and Labrador,24.191916017316014
38,2021-12,Newfoundland and Labrador,24.785365367965362
39,2022-01,Newfoundland and Labrador,25.378814718614713
40,2021-10,Yukon,
41,2021-10,Northwest Territories,
42,2021-10,Nunavut,
43,2021-11,Yukon,
44,2021-11,Northwest Territories,
45,2021-11,Nunavut,
46,2021-12,Yukon,
47,2021-12,Northwest Territories,
48,2021-12,Nunavut,
49,2022-01,Yukon,
50,2022-01,Northwest Territories,
51,2022-01,Nunavut,
