,REF_DATE,GEO,VALUE
0,2021-10,Quebec,67.64285714285715
1,2021-11,Quebec,67.77272727272728
2,2021-12,Quebec,67.90259740259741
3,2022-01,Quebec,68.03246753246754
4,2021-10,Nova Scotia,76.88000000000001
5,2021-11,Nova Scotia,76.82103896103897
6,2021-12,Nova Scotia,76.76207792207794
7,2022-01,Nova Scotia,76.70311688311689
8,2021-10,Ontario,86.82476190476191
9,2021-11,Ontario,87.40580086580087
10,2021-12,Ontario,87.98683982683983
11,2022-01,Ontario,88.5678787878788
12,2021-10,Prince Edward Island,81.99666666666666
13,2021-11,Prince Edward Island,82.4617316017316
14,2021-12,Prince Edward Island,82.92679653679653
15,2022-01,Prince Edward Island,83.39186147186146
16,2021-10,Alberta,98.42761904761905
17,2021-11,Alberta,98.79073593073593
18,2021-12,Alberta,99.15385281385281
19,2022-01,Alberta,99.5169696969697
20,2021-10,British Columbia,100.34333333333333
21,2021-11,British Columbia,101.03255411255412
22,2021-12,British Columbia,101.7217748917749
23,2022-01,British Columbia,102.41099567099567
24,2021-10,New Brunswick,67.80380952380953
25,2021-11,New Brunswick,67.82536796536797
26,2021-12,New Brunswick,67.84692640692641
27,2022-01,New Brunswick,67.86848484848485
28,2021-10,Manitoba,101.6947619047619
29,2021-11,Manitoba,101.9743722943723
30,2021-12,Manitoba,102.25398268398268
31,2022-01,Manitoba,102.53359307359308
32,2021-10,Saskatchewan,100.2204761904762
33,2021-11,Saskatchewan,100.51021645021646
34,2021-12,Saskatchewan,100.79995670995673
35,2022-01,Saskatchewan,101.08969696969699
36,2021-10,Newfoundland and Labrador,84.85380952380955
37,2021-11,Newfoundland and Labrador,84.91887445887447
38,2021-12,Newfoundland and Labrador,84.98393939393941
39,2022-01,Newfoundland and Labrador,85.04900432900435
40,2021-10,Yukon,
41,2021-10,Northwest Territories,
42,2021-10,Nunavut,
43,2021-11,Yukon,
44,2021-11,Northwest Territories,
45,2021-11,Nunavut,
46,2021-12,Yukon,
47,2021-12,Northwest Territories,
48,2021-12,Nunavut,
49,2022-01,Yukon,
50,2022-01,Northwest Territories,
51,2022-01,Nunavut,
