REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Service detail,Seasonal adjustment,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,TERMINATED,DECIMALS
2020-01,Canada,2016A000011124,"Total, food services and drinking places",Receipts,Unadjusted,Dollars,81,thousands,3,v42170561,1.1.1.1,5666199,,,0
2020-01,Canada,2016A000011124,"Total, food services and drinking places",Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170701,1.1.1.2,6390026,,,0
2020-01,Canada,2016A000011124,Special food services [7223],Receipts,Unadjusted,Dollars,81,thousands,3,v42170567,1.4.1.1,460107,,,0
2020-01,Canada,2016A000011124,Special food services [7223],Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170704,1.4.1.2,523723,,,0
2020-01,Canada,2016A000011124,Drinking places (alcoholic beverages) [7224],Receipts,Unadjusted,Dollars,81,thousands,3,v42170569,1.5.1.1,180921,,,0
2020-01,Canada,2016A000011124,Drinking places (alcoholic beverages) [7224],Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170705,1.5.1.2,205954,,,0
2020-01,Canada,2016A000011124,Full-service restaurants [722511],Receipts,Unadjusted,Dollars,81,thousands,3,v42170563,1.2.1.1,2501907,,,0
2020-01,Canada,2016A000011124,Full-service restaurants [722511],Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170702,1.2.1.2,2832832,,,0
2020-01,Canada,2016A000011124,Limited-service eating places [722512],Receipts,Unadjusted,Dollars,81,thousands,3,v42170565,1.3.1.1,2523264,,,0
2020-01,Canada,2016A000011124,Limited-service eating places [722512],Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170703,1.3.1.2,2827516,,,0
2020-01,Newfoundland and Labrador,2016A000210,"Total, food services and drinking places",Receipts,Unadjusted,Dollars,81,thousands,3,v42170571,2.1.1.1,54258,,,0
2020-01,Newfoundland and Labrador,2016A000210,"Total, food services and drinking places",Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170706,2.1.1.2,63088,,,0
2020-01,Newfoundland and Labrador,2016A000210,Special food services [7223],Receipts,Unadjusted,Dollars,81,thousands,3,v42170577,2.4.1.1,,x,,0
2020-01,Newfoundland and Labrador,2016A000210,Drinking places (alcoholic beverages) [7224],Receipts,Unadjusted,Dollars,81,thousands,3,v42170579,2.5.1.1,,x,,0
2020-01,Newfoundland and Labrador,2016A000210,Full-service restaurants [722511],Receipts,Unadjusted,Dollars,81,thousands,3,v42170573,2.2.1.1,15554,,,0
2020-01,Newfoundland and Labrador,2016A000210,Limited-service eating places [722512],Receipts,Unadjusted,Dollars,81,thousands,3,v42170575,2.3.1.1,32339,,,0
