,REF_DATE,GEO,VALUE
14,2020-01,Newfoundland and Labrador,15.554
20,2020-01,Prince Edward Island,8.237
26,2020-01,Nova Scotia,43.949
32,2020-01,New Brunswick,29.635
38,2020-01,Quebec,543.0120000000001
44,2020-01,Ontario,938.61
50,2020-01,Manitoba,68.127
56,2020-01,Saskatchewan,55.998000000000005
62,2020-01,Alberta,320.116
68,2020-01,British Columbia,473.74600000000004
74,2020-01,Yukon Territory,
80,2020-01,Northwest Territories,
86,2020-01,Nunavut,
102,2020-02,Newfoundland and Labrador,16.367
108,2020-02,Prince Edward Island,8.175
114,2020-02,Nova Scotia,45.919000000000004
120,2020-02,New Brunswick,29.227
126,2020-02,Quebec,546.482
132,2020-02,Ontario,943.1510000000001
138,2020-02,Manitoba,68.94
144,2020-02,Saskatchewan,56.559000000000005
150,2020-02,Alberta,337.686
156,2020-02,British Columbia,492.09000000000003
162,2020-02,Yukon Territory,
168,2020-02,Northwest Territories,
174,2020-02,Nunavut,
190,2020-03,Newfoundland and Labrador,10.884
196,2020-03,Prince Edward Island,8.616689555555556
202,2020-03,Nova Scotia,26.441
208,2020-03,New Brunswick,19.054000000000002
214,2020-03,Quebec,319.04
220,2020-03,Ontario,527.195
226,2020-03,Manitoba,47.00165335
232,2020-03,Saskatchewan,42.35017785
238,2020-03,Alberta,195.522
244,2020-03,British Columbia,292.948
250,2020-03,Yukon Territory,
256,2020-03,Northwest Territories,
262,2020-03,Nunavut,
278,2020-04,Newfoundland and Labrador,4.557
284,2020-04,Prince Edward Island,8.163633088923977
290,2020-04,Nova Scotia,9.821
296,2020-04,New Brunswick,11.577
302,2020-04,Quebec,138.918
308,2020-04,Ontario,227.687
314,2020-04,Manitoba,21.684
320,2020-04,Saskatchewan,16.022000000000002
326,2020-04,Alberta,86.071
332,2020-04,British Columbia,123.896
338,2020-04,Yukon Territory,
344,2020-04,Northwest Territories,
350,2020-04,Nunavut,
366,2020-05,Newfoundland and Labrador,8.234
372,2020-05,Prince Edward Island,3.896
378,2020-05,Nova Scotia,16.736
384,2020-05,New Brunswick,18.209
390,2020-05,Quebec,215.316
396,2020-05,Ontario,325.76800000000003
402,2020-05,Manitoba,33.019
408,2020-05,Saskatchewan,24.242
414,2020-05,Alberta,153.879
420,2020-05,British Columbia,207.534
426,2020-05,Yukon Territory,
432,2020-05,Northwest Territories,
438,2020-05,Nunavut,
454,2020-06,Newfoundland and Labrador,13.816
460,2020-06,Prince Edward Island,7.3340000000000005
466,2020-06,Nova Scotia,37.222
472,2020-06,New Brunswick,25.338
478,2020-06,Quebec,303.50100000000003
484,2020-06,Ontario,450.452
490,2020-06,Manitoba,62.486000000000004
